NAME;GROUP_COMMON_NAME;GROUP_SCIENTIFIC_NAME
Oncothecaceae;Flowering plants ;Angiosperms
Opiliaceae;Flowering plants ;Angiosperms
Orchidaceae;Flowering plants ;Angiosperms
Orobanchaceae;Flowering plants ;Angiosperms
Oxalidaceae;Flowering plants ;Angiosperms
Paeoniaceae;Flowering plants ;Angiosperms
Pandaceae;Flowering plants ;Angiosperms
Pandanaceae;Flowering plants ;Angiosperms
Papaveraceae;Flowering plants ;Angiosperms
Paracryphiaceae;Flowering plants ;Angiosperms
Passifloraceae;Flowering plants ;Angiosperms
Paulowniaceae;Flowering plants ;Angiosperms
Pedaliaceae;Flowering plants ;Angiosperms
Penaeaceae;Flowering plants ;Angiosperms
Pennantiaceae;Flowering plants ;Angiosperms
Pentadiplandraceae;Flowering plants ;Angiosperms
Pentaphragmataceae;Flowering plants ;Angiosperms
Pentaphylacaceae;Flowering plants ;Angiosperms
Penthoraceae;Flowering plants ;Angiosperms
Peraceae;Flowering plants ;Angiosperms
Peridiscaceae;Flowering plants ;Angiosperms
Petenaeaceae;Flowering plants ;Angiosperms
Petermanniaceae;Flowering plants ;Angiosperms
Petrosaviaceae;Flowering plants ;Angiosperms
Phellinaceae;Flowering plants ;Angiosperms
Philesiaceae;Flowering plants ;Angiosperms
Philydraceae;Flowering plants ;Angiosperms
Phrymaceae;Flowering plants ;Angiosperms
Phyllanthaceae;Flowering plants ;Angiosperms
Phyllonomaceae;Flowering plants ;Angiosperms
Physenaceae;Flowering plants ;Angiosperms
Phytolaccaceae;Flowering plants ;Angiosperms
Picramniaceae;Flowering plants ;Angiosperms
Picrodendraceae;Flowering plants ;Angiosperms
Piperaceae;Flowering plants ;Angiosperms
Pittosporaceae;Flowering plants ;Angiosperms
Plantaginaceae;Flowering plants ;Angiosperms
Platanaceae;Flowering plants ;Angiosperms
Plocospermataceae;Flowering plants ;Angiosperms
Plumbaginaceae;Flowering plants ;Angiosperms
Poaceae;Flowering plants ;Angiosperms
Podostemaceae;Flowering plants ;Angiosperms
Polemoniaceae;Flowering plants ;Angiosperms
Polygalaceae;Flowering plants ;Angiosperms
Polygonaceae;Flowering plants ;Angiosperms
Pontederiaceae;Flowering plants ;Angiosperms
Portulacaceae;Flowering plants ;Angiosperms
Posidoniaceae;Flowering plants ;Angiosperms
Potamogetonaceae;Flowering plants ;Angiosperms
Primulaceae;Flowering plants ;Angiosperms
Proteaceae;Flowering plants ;Angiosperms
Putranjivaceae;Flowering plants ;Angiosperms
Quillajaceae;Flowering plants ;Angiosperms
Rafflesiaceae;Flowering plants ;Angiosperms
Ranunculaceae;Flowering plants ;Angiosperms
Rapateaceae;Flowering plants ;Angiosperms
Resedaceae;Flowering plants ;Angiosperms
Restionaceae;Flowering plants ;Angiosperms
Rhabdodendraceae;Flowering plants ;Angiosperms
Rhamnaceae;Flowering plants ;Angiosperms
Rhipogonaceae;Flowering plants ;Angiosperms
Rhizophoraceae;Flowering plants ;Angiosperms
Roridulaceae;Flowering plants ;Angiosperms
Rosaceae;Flowering plants ;Angiosperms
Rousseaceae;Flowering plants ;Angiosperms
Rubiaceae;Flowering plants ;Angiosperms
Ruppiaceae;Flowering plants ;Angiosperms
Rutaceae;Flowering plants ;Angiosperms
Sabiaceae;Flowering plants ;Angiosperms
Salicaceae;Flowering plants ;Angiosperms
Salvadoraceae;Flowering plants ;Angiosperms
Santalaceae;Flowering plants ;Angiosperms
Sapindaceae;Flowering plants ;Angiosperms
Sapotaceae;Flowering plants ;Angiosperms
Sarcobataceae;Flowering plants ;Angiosperms
Sarcolaenaceae;Flowering plants ;Angiosperms
Sarraceniaceae;Flowering plants ;Angiosperms
Saururaceae;Flowering plants ;Angiosperms
Saxifragaceae;Flowering plants ;Angiosperms
Scheuchzeriaceae;Flowering plants ;Angiosperms
Schisandraceae;Flowering plants ;Angiosperms
Schlegeliaceae;Flowering plants ;Angiosperms
Schoepfiaceae;Flowering plants ;Angiosperms
Scrophulariaceae;Flowering plants ;Angiosperms
Setchellanthaceae;Flowering plants ;Angiosperms
Simaroubaceae;Flowering plants ;Angiosperms
Simmondsiaceae;Flowering plants ;Angiosperms
Siparunaceae;Flowering plants ;Angiosperms
Sladeniaceae;Flowering plants ;Angiosperms
Smilacaceae;Flowering plants ;Angiosperms
Solanaceae;Flowering plants ;Angiosperms
Sphaerosepalaceae;Flowering plants ;Angiosperms
Sphenocleaceae;Flowering plants ;Angiosperms
Stachyuraceae;Flowering plants ;Angiosperms
Staphyleaceae;Flowering plants ;Angiosperms
Stegnospermataceae;Flowering plants ;Angiosperms
Stemonaceae;Flowering plants ;Angiosperms
Stemonuraceae;Flowering plants ;Angiosperms
Stilbaceae;Flowering plants ;Angiosperms
Strasburgeriaceae;Flowering plants ;Angiosperms
Strelitziaceae;Flowering plants ;Angiosperms
Stylidiaceae;Flowering plants ;Angiosperms
Styracaceae;Flowering plants ;Angiosperms
Surianaceae;Flowering plants ;Angiosperms
Symplocaceae;Flowering plants ;Angiosperms
Talinaceae;Flowering plants ;Angiosperms
Tamaricaceae;Flowering plants ;Angiosperms
Tapisciaceae;Flowering plants ;Angiosperms
Tecophilaeaceae;Flowering plants ;Angiosperms
Tetrachondraceae;Flowering plants ;Angiosperms
Tetramelaceae;Flowering plants ;Angiosperms
Tetrameristaceae;Flowering plants ;Angiosperms
Theaceae;Flowering plants ;Angiosperms
Thomandersiaceae;Flowering plants ;Angiosperms
Thurniaceae;Flowering plants ;Angiosperms
Thymelaeaceae;Flowering plants ;Angiosperms
Ticodendraceae;Flowering plants ;Angiosperms
Tofieldiaceae;Flowering plants ;Angiosperms
Torricelliaceae;Flowering plants ;Angiosperms
Tovariaceae;Flowering plants ;Angiosperms
Trigoniaceae;Flowering plants ;Angiosperms
Trimeniaceae;Flowering plants ;Angiosperms
Triuridaceae;Flowering plants ;Angiosperms
Trochodendraceae;Flowering plants ;Angiosperms
Tropaeolaceae;Flowering plants ;Angiosperms
Typhaceae;Flowering plants ;Angiosperms
Ulmaceae;Flowering plants ;Angiosperms
Urticaceae;Flowering plants ;Angiosperms
Vahliaceae;Flowering plants ;Angiosperms
Velloziaceae;Flowering plants ;Angiosperms
Verbenaceae;Flowering plants ;Angiosperms
Violaceae;Flowering plants ;Angiosperms
Vitaceae;Flowering plants ;Angiosperms
Vivianiaceae;Flowering plants ;Angiosperms
Vochysiaceae;Flowering plants ;Angiosperms
Winteraceae;Flowering plants ;Angiosperms
Xanthorrhoeaceae;Flowering plants ;Angiosperms
Xeronemataceae;Flowering plants ;Angiosperms
Xyridaceae;Flowering plants ;Angiosperms
Zingiberaceae;Flowering plants ;Angiosperms
Zosteraceae;Flowering plants ;Angiosperms
Zygophyllaceae;Flowering plants ;Angiosperms
Araucariaceae;Conifers, cycads and allies ;Gymnosperms
Cupressaceae;Conifers, cycads and allies ;Gymnosperms
Cycadaceae;Conifers, cycads and allies ;Gymnosperms
Ephedraceae;Conifers, cycads and allies ;Gymnosperms
Ginkgoaceae;Conifers, cycads and allies ;Gymnosperms
Gnetaceae;Conifers, cycads and allies ;Gymnosperms
Pinaceae;Conifers, cycads and allies ;Gymnosperms
Podocarpaceae;Conifers, cycads and allies ;Gymnosperms
Sciadopityaceae;Conifers, cycads and allies ;Gymnosperms
Taxaceae;Conifers, cycads and allies ;Gymnosperms
Welwitschiaceae;Conifers, cycads and allies ;Gymnosperms
Zamiaceae;Conifers, cycads and allies ;Gymnosperms
Anemiaceae;Ferns and fern allies ;Pteridophytes
Apleniaceae;Ferns and fern allies ;Pteridophytes
Aspleniaceae;Ferns and fern allies ;Pteridophytes
Athyriaceae;Ferns and fern allies ;Pteridophytes
Blechnaceae;Ferns and fern allies ;Pteridophytes
Cibotiaceae;Ferns and fern allies ;Pteridophytes
Culcitaceae;Ferns and fern allies ;Pteridophytes
Cyatheaceae;Ferns and fern allies ;Pteridophytes
Cystodiaceae;Ferns and fern allies ;Pteridophytes
Cystopteridaceae;Ferns and fern allies ;Pteridophytes
Davalliaceae;Ferns and fern allies ;Pteridophytes
Dennstaedtiaceae;Ferns and fern allies ;Pteridophytes
Dicksoniaceae;Ferns and fern allies ;Pteridophytes
Diplaziopsidaceae;Ferns and fern allies ;Pteridophytes
Dipteridaceae;Ferns and fern allies ;Pteridophytes
